kuupäev;vooluhulk_m3s;veetase_cm;veetemp_c;valideeritud
2003-01-01;199;88;;jah
2003-01-02;150;71;;jah
2003-01-03;181;83;;jah
2003-01-04;225;101;;jah
2003-01-05;235;104;;jah
2003-01-06;215;96;;jah
2003-01-07;207;94;;jah
2003-01-08;249;113;;jah
2003-01-09;262;117;;jah
2003-01-10;232;105;;jah
2003-01-11;245;113;;jah
2003-01-12;243;111;;jah
2003-01-13;318;135;;jah
2003-01-14;273;121;;jah
2003-01-15;309;132;;jah
2003-01-16;473;163;;jah
2003-01-17;399;149;;jah
2003-01-18;383;148;;jah
2003-01-19;365;145;;jah
2003-01-20;297;129;;jah
2003-01-21;305;134;;jah
2003-01-22;267;123;;jah
2003-01-23;262;123;;jah
2003-01-24;267;124;;jah
2003-01-25;315;137;;jah
2003-01-26;305;133;;jah
2003-01-27;313;136;;jah
2003-01-28;281;127;;jah
2003-01-29;271;125;;jah
2003-01-30;329;139;;jah
2003-01-31;320;133;;jah
2003-02-01;323;132;;jah
2003-02-02;367;133;;jah
2003-02-03;295;119;;jah
2003-02-04;254;103;;jah
2003-02-05;270;108;;jah
2003-02-06;302;115;;jah
2003-02-07;319;117;;jah
2003-02-08;314;110;;jah
2003-02-09;317;107;;jah
2003-02-10;310;105;;jah
2003-02-11;319;108;;jah
2003-02-12;339;114;;jah
2003-02-13;338;113;;jah
2003-02-14;329;113;;jah
2003-02-15;241;90;;jah
2003-02-16;300;110;;jah
2003-02-17;317;107;;jah
2003-02-18;328;111;;jah
2003-02-19;314;106;;jah
2003-02-20;306;104;;jah
2003-02-21;299;102;;jah
2003-02-22;292;100;;jah
2003-02-23;275;95;;jah
2003-02-24;253;88;;jah
2003-02-25;271;95;;jah
2003-02-26;262;92;;jah
2003-02-27;204;75;;jah
2003-02-28;255;92;;jah
2003-03-01;176;60;;jah
2003-03-02;207;77;;jah
2003-03-03;226;81;;jah
2003-03-04;268;95;;jah
2003-03-05;244;85;;jah
2003-03-06;251;89;;jah
2003-03-07;225;82;;jah
2003-03-08;165;63;;jah
2003-03-09;186;70;;jah
2003-03-10;214;78;;jah
2003-03-11;265;94;;jah
2003-03-12;277;96;;jah
2003-03-13;284;98;;jah
2003-03-14;288;99;;jah
2003-03-15;297;102;;jah
2003-03-16;286;98;;jah
2003-03-17;293;101;;jah
2003-03-18;310;106;;jah
2003-03-19;326;111;;jah
2003-03-20;295;100;;jah
2003-03-21;314;108;;jah
2003-03-22;280;100;;jah
2003-03-23;243;96;;jah
2003-03-24;247;109;;jah
2003-03-25;217;106;;jah
2003-03-26;189;102;;jah
2003-03-27;176;102;;jah
2003-03-28;174;102;;jah
2003-03-29;227;101;;jah
2003-03-30;321;109;;jah
2003-03-31;419;119;;jah
2003-04-01;392;127;;jah
2003-04-02;398;126;;jah
2003-04-03;394;125;;jah
2003-04-04;520;137;;jah
2003-04-05;433;132;;jah
2003-04-06;318;103;;jah
2003-04-07;335;113;;jah
2003-04-08;367;122;;jah
2003-04-09;284;94;;jah
2003-04-10;319;110;;jah
2003-04-11;278;94;;jah
2003-04-12;300;103;;jah
2003-04-13;351;118;;jah
2003-04-14;350;116;;jah
2003-04-15;329;110;;jah
2003-04-16;311;105;;jah
2003-04-17;324;110;;jah
2003-04-18;319;108;;jah
2003-04-19;292;99;;jah
2003-04-20;288;99;;jah
2003-04-21;300;103;;jah
2003-04-22;302;103;;jah
2003-04-23;290;99;;jah
2003-04-24;295;101;;jah
2003-04-25;325;111;;jah
2003-04-26;293;101;;jah
2003-04-27;232;88;;jah
2003-04-28;299;104;;jah
2003-04-29;313;106;;jah
2003-04-30;354;121;;jah
2003-05-01;331;104;;jah
2003-05-02;536;140;;jah
2003-05-03;367;116;;jah
2003-05-04;391;126;;jah
2003-05-05;372;121;;jah
2003-05-06;354;116;;jah
2003-05-07;433;134;;jah
2003-05-08;402;126;;jah
2003-05-09;392;125;;jah
2003-05-10;397;126;;jah
2003-05-11;391;125;;jah
2003-05-12;357;117;;jah
2003-05-13;344;114;;jah
2003-05-14;366;121;;jah
2003-05-15;358;117;;jah
2003-05-16;431;133;;jah
2003-05-17;483;140;;jah
2003-05-18;433;131;;jah
2003-05-19;400;126;;jah
2003-05-20;370;120;;jah
2003-05-21;409;129;;jah
2003-05-22;404;127;;jah
2003-05-23;398;126;;jah
2003-05-24;407;128;;jah
2003-05-25;370;120;;jah
2003-05-26;374;122;;jah
2003-05-27;432;133;;jah
2003-05-28;450;135;;jah
2003-05-29;430;131;;jah
2003-05-30;421;130;;jah
2003-05-31;382;125;;jah
2003-06-01;380;128;;jah
2003-06-02;363;122;;jah
2003-06-03;316;113;;jah
2003-06-04;352;117;;jah
2003-06-05;358;118;;jah
2003-06-06;404;128;;jah
2003-06-07;414;129;;jah
2003-06-08;389;124;;jah
2003-06-09;385;123;;jah
2003-06-10;520;147;;jah
2003-06-11;409;125;;jah
2003-06-12;419;130;;jah
2003-06-13;456;136;;jah
2003-06-14;468;137;;jah
2003-06-15;506;143;;jah
2003-06-16;486;139;;jah
2003-06-17;474;138;;jah
2003-06-18;432;131;;jah
2003-06-19;417;129;;jah
2003-06-20;418;129;;jah
2003-06-21;497;142;;jah
2003-06-22;563;151;;jah
2003-06-23;517;143;;jah
2003-06-24;466;136;;jah
2003-06-25;469;137;;jah
2003-06-26;573;146;;jah
2003-06-27;501;141;;jah
2003-06-28;470;137;;jah
2003-06-29;437;132;;jah
2003-06-30;408;129;;jah
2003-07-01;381;126;;jah
2003-07-02;370;120;;jah
2003-07-03;399;127;;jah
2003-07-04;388;124;;jah
2003-07-05;408;128;;jah
2003-07-06;449;135;;jah
2003-07-07;485;140;;jah
2003-07-08;476;138;;jah
2003-07-09;455;135;;jah
2003-07-10;462;136;;jah
2003-07-11;617;150;;jah
2003-07-12;478;137;;jah
2003-07-13;475;138;;jah
2003-07-14;487;140;;jah
2003-07-15;456;135;;jah
2003-07-16;424;130;;jah
2003-07-17;385;123;;jah
2003-07-18;404;128;;jah
2003-07-19;353;115;;jah
2003-07-20;360;119;;jah
2003-07-21;364;120;;jah
2003-07-22;351;116;;jah
2003-07-23;353;117;;jah
2003-07-24;364;120;;jah
2003-07-25;364;120;;jah
2003-07-26;329;112;;jah
2003-07-27;299;108;;jah
2003-07-28;323;109;;jah
2003-07-29;347;116;;jah
2003-07-30;356;118;;jah
2003-07-31;323;110;;jah
2003-08-01;309;109;;jah
2003-08-02;311;105;;jah
2003-08-03;317;107;;jah
2003-08-04;368;122;;jah
2003-08-05;401;127;;jah
2003-08-06;442;134;;jah
2003-08-07;477;139;;jah
2003-08-08;454;135;;jah
2003-08-09;386;123;;jah
2003-08-10;343;113;;jah
2003-08-11;348;116;;jah
2003-08-12;329;113;;jah
2003-08-13;313;111;;jah
2003-08-14;374;123;;jah
2003-08-15;397;126;;jah
2003-08-16;440;134;;jah
2003-08-17;458;136;;jah
2003-08-18;440;133;;jah
2003-08-19;403;126;;jah
2003-08-20;432;132;;jah
2003-08-21;516;145;;jah
2003-08-22;502;141;;jah
2003-08-23;530;146;;jah
2003-08-24;529;145;;jah
2003-08-25;562;150;;jah
2003-08-26;600;156;;jah
2003-08-27;495;138;;jah
2003-08-28;692;161;;jah
2003-08-29;621;158;;jah
2003-08-30;448;130;;jah
2003-08-31;552;153;;jah
2003-09-01;595;151;;jah
2003-09-02;506;141;;jah
2003-09-03;517;144;;jah
2003-09-04;520;144;;jah
2003-09-05;524;145;;jah
2003-09-06;466;136;;jah
2003-09-07;420;129;;jah
2003-09-08;399;126;;jah
2003-09-09;366;122;;jah
2003-09-10;337;117;;jah
2003-09-11;353;117;;jah
2003-09-12;358;117;;jah
2003-09-13;494;143;;jah
2003-09-14;476;138;;jah
2003-09-15;372;117;;jah
2003-09-16;512;146;;jah
2003-09-17;468;136;;jah
2003-09-18;438;132;;jah
2003-09-19;501;143;;jah
2003-09-20;443;132;;jah
2003-09-21;457;136;;jah
2003-09-22;453;135;;jah
2003-09-23;432;131;;jah
2003-09-24;505;143;;jah
2003-09-25;578;153;;jah
2003-09-26;557;149;;jah
2003-09-27;444;131;;jah
2003-09-28;511;144;;jah
2003-09-29;556;150;;jah
2003-09-30;446;133;;jah
2003-10-01;488;144;;jah
2003-10-02;428;129;;jah
2003-10-03;453;136;;jah
2003-10-04;390;123;;jah
2003-10-05;438;134;;jah
2003-10-06;441;132;;jah
2003-10-07;642;164;;jah
2003-10-08;659;163;;jah
2003-10-09;557;147;;jah
2003-10-10;603;156;;jah
2003-10-11;688;164;;jah
2003-10-12;734;170;;jah
2003-10-13;647;160;;jah
2003-10-14;625;158;;jah
2003-10-15;610;156;;jah
2003-10-16;599;154;;jah
2003-10-17;685;168;;jah
2003-10-18;622;157;;jah
2003-10-19;497;139;;jah
2003-10-20;474;138;;jah
2003-10-21;404;127;;jah
2003-10-22;354;123;;jah
2003-10-23;372;121;;jah
2003-10-24;434;133;;jah
2003-10-25;514;145;;jah
2003-10-26;423;128;;jah
2003-10-27;445;134;;jah
2003-10-28;556;151;;jah
2003-10-29;523;144;;jah
2003-10-30;441;132;;jah
2003-10-31;379;123;;jah
2003-11-01;347;120;;jah
2003-11-02;328;117;;jah
2003-11-03;403;128;;jah
2003-11-04;416;129;;jah
2003-11-05;475;139;;jah
2003-11-06;471;137;;jah
2003-11-07;511;144;;jah
2003-11-08;430;130;;jah
2003-11-09;351;114;;jah
2003-11-10;356;118;;jah
2003-11-11;383;124;;jah
2003-11-12;406;128;;jah
2003-11-13;387;124;;jah
2003-11-14;357;117;;jah
2003-11-15;366;121;;jah
2003-11-16;332;110;;jah
2003-11-17;365;121;;jah
2003-11-18;378;123;;jah
2003-11-19;381;123;;jah
2003-11-20;438;134;;jah
2003-11-21;432;132;;jah
2003-11-22;351;114;;jah
2003-11-23;308;102;;jah
2003-11-24;488;138;;jah
2003-11-25;527;142;;jah
2003-11-26;373;118;;jah
2003-11-27;338;112;;jah
2003-11-28;376;123;;jah
2003-11-29;421;131;;jah
2003-11-30;396;126;;jah
2003-12-01;359;123;;jah
2003-12-02;348;122;;jah
2003-12-03;427;132;;jah
2003-12-04;433;132;;jah
2003-12-05;431;148;;jah
2003-12-06;427;131;;jah
2003-12-07;425;169;;jah
2003-12-08;422;181;;jah
2003-12-09;419;151;;jah
2003-12-10;416;146;;jah
2003-12-11;412;148;;jah
2003-12-12;409;159;;jah
2003-12-13;406;167;;jah
2003-12-14;404;127;;jah
2003-12-15;412;145;;jah
2003-12-16;425;157;;jah
2003-12-17;435;175;;jah
2003-12-18;452;152;;jah
2003-12-19;468;170;;jah
2003-12-20;484;166;;jah
2003-12-21;497;141;;jah
2003-12-22;502;145;;jah
2003-12-23;508;183;;jah
2003-12-24;515;175;;jah
2003-12-25;522;194;;jah
2003-12-26;528;179;;jah
2003-12-27;535;168;;jah
2003-12-28;541;189;;jah
2003-12-29;548;173;;jah
2003-12-30;555;176;;jah
2003-12-31;561;162;;jah
2004-01-01;524;146;;jah
2004-01-02;427;132;;jah
2004-01-03;392;142;;jah
2004-01-04;365;154;;jah
2004-01-05;339;154;;jah
2004-01-06;314;146;;jah
2004-01-07;294;135;;jah
2004-01-08;280;133;;jah
2004-01-09;269;115;;jah
2004-01-10;269;117;;jah
2004-01-11;291;125;;jah
2004-01-12;263;117;;jah
2004-01-13;272;123;;jah
2004-01-14;252;116;;jah
2004-01-15;283;127;;jah
2004-01-16;333;139;;jah
2004-01-17;288;125;;jah
2004-01-18;314;133;;jah
2004-01-19;331;137;;jah
2004-01-20;221;107;;jah
2004-01-21;321;131;;jah
2004-01-22;383;136;;jah
2004-01-23;405;134;;jah
2004-01-24;377;123;;jah
2004-01-25;369;109;;jah
2004-01-26;479;122;;jah
2004-01-27;465;118;;jah
2004-01-28;440;114;;jah
2004-01-29;456;117;;jah
2004-01-30;520;128;;jah
2004-01-31;521;128;;jah
2004-02-01;416;120;;jah
2004-02-02;561;135;;jah
2004-02-03;524;126;;jah
2004-02-04;610;142;;jah
2004-02-05;711;155;;jah
2004-02-06;724;155;;jah
2004-02-07;611;139;;jah
2004-02-08;535;140;;jah
2004-02-09;450;146;;jah
2004-02-10;505;164;;jah
2004-02-11;419;152;;jah
2004-02-12;369;151;;jah
2004-02-13;345;149;;jah
2004-02-14;373;156;;jah
2004-02-15;356;150;;jah
2004-02-16;345;147;;jah
2004-02-17;352;149;;jah
2004-02-18;271;126;;jah
2004-02-19;314;140;;jah
2004-02-20;357;148;;jah
2004-02-21;357;146;;jah
2004-02-22;311;133;;jah
2004-02-23;336;139;;jah
2004-02-24;386;148;;jah
2004-02-25;355;138;;jah
2004-02-26;412;150;;jah
2004-02-27;407;142;;jah
2004-02-28;447;143;;jah
2004-02-29;452;136;;jah
2004-03-01;580;139;;jah
2004-03-02;584;137;;jah
2004-03-03;451;113;;jah
2004-03-04;534;131;;jah
2004-03-05;542;130;;jah
2004-03-06;540;130;;jah
2004-03-07;500;123;;jah
2004-03-08;472;119;;jah
2004-03-09;450;116;;jah
2004-03-10;397;107;;jah
2004-03-11;390;107;;jah
2004-03-12;373;104;;jah
2004-03-13;335;99;;jah
2004-03-14;288;95;;jah
2004-03-15;343;100;;jah
2004-03-16;381;106;;jah
2004-03-17;432;114;;jah
2004-03-18;487;123;;jah
2004-03-19;438;113;;jah
2004-03-20;448;116;;jah
2004-03-21;459;117;;jah
2004-03-22;579;138;;jah
2004-03-23;632;145;;jah
2004-03-24;583;136;;jah
2004-03-25;456;114;;jah
2004-03-26;543;132;;jah
2004-03-27;617;143;;jah
2004-03-28;604;139;;jah
2004-03-29;631;144;;jah
2004-03-30;719;156;;jah
2004-03-31;726;155;;jah
2004-04-01;691;151;;jah
2004-04-02;665;149;;jah
2004-04-03;635;144;;jah
2004-04-04;611;140;;jah
2004-04-05;664;150;;jah
2004-04-06;664;149;;jah
2004-04-07;624;142;;jah
2004-04-08;616;141;;jah
2004-04-09;694;155;;jah
2004-04-10;701;154;;jah
2004-04-11;814;168;;jah
2004-04-12;823;174;;jah
2004-04-13;798;169;;jah
2004-04-14;761;163;;jah
2004-04-15;772;166;;jah
2004-04-16;727;158;;jah
2004-04-17;659;147;;jah
2004-04-18;630;143;;jah
2004-04-19;655;148;;jah
2004-04-20;676;151;;jah
2004-04-21;671;150;;jah
2004-04-22;619;141;;jah
2004-04-23;612;141;;jah
2004-04-24;590;137;;jah
2004-04-25;610;141;;jah
2004-04-26;618;142;;jah
2004-04-27;602;139;;jah
2004-04-28;585;137;;jah
2004-04-29;490;121;;jah
2004-04-30;503;128;;jah
2004-05-01;571;133;;jah
2004-05-02;496;122;;jah
2004-05-03;478;120;;jah
2004-05-04;510;126;;jah
2004-05-05;495;123;;jah
2004-05-06;407;112;;jah
2004-05-07;464;119;;jah
2004-05-08;464;118;;jah
2004-05-09;481;121;;jah
2004-05-10;505;125;;jah
2004-05-11;479;120;;jah
2004-05-12;452;116;;jah
2004-05-13;447;115;;jah
2004-05-14;552;134;;jah
2004-05-15;533;128;;jah
2004-05-16;562;134;;jah
2004-05-17;544;130;;jah
2004-05-18;549;131;;jah
2004-05-19;625;144;;jah
2004-05-20;686;153;;jah
2004-05-21;731;160;;jah
2004-05-22;719;157;;jah
2004-05-23;711;156;;jah
2004-05-24;704;155;;jah
2004-05-25;675;150;;jah
2004-05-26;673;150;;jah
2004-05-27;744;159;;jah
2004-05-28;701;154;;jah
2004-05-29;692;153;;jah
2004-05-30;708;156;;jah
2004-05-31;687;154;;jah
2004-06-01;590;139;;jah
2004-06-02;565;133;;jah
2004-06-03;566;134;;jah
2004-06-04;560;133;;jah
2004-06-05;521;127;;jah
2004-06-06;554;137;;jah
2004-06-07;596;139;;jah
2004-06-08;545;129;;jah
2004-06-09;636;147;;jah
2004-06-10;569;133;;jah
2004-06-11;433;124;;jah
2004-06-12;341;131;;jah
2004-06-13;390;144;;jah
2004-06-14;447;159;;jah
2004-06-15;443;161;;jah
2004-06-16;441;166;;jah
2004-06-17;436;167;;jah
2004-06-18;383;153;;jah
2004-06-19;356;147;;jah
2004-06-20;376;152;;jah
2004-06-21;347;143;;jah
2004-06-22;405;157;;jah
2004-06-23;402;154;;jah
2004-06-24;339;137;;jah
2004-06-25;386;146;;jah
2004-06-26;401;144;;jah
2004-06-27;439;148;;jah
2004-06-28;494;154;;jah
2004-06-29;577;164;;jah
2004-06-30;762;180;;jah
2004-07-01;589;158;;jah
2004-07-02;641;170;;jah
2004-07-03;699;176;;jah
2004-07-04;563;156;;jah
2004-07-05;601;166;;jah
2004-07-06;613;168;;jah
2004-07-07;561;160;;jah
2004-07-08;415;135;;jah
2004-07-09;389;134;;jah
2004-07-10;366;130;;jah
2004-07-11;371;132;;jah
2004-07-12;399;138;;jah
2004-07-13;404;139;;jah
2004-07-14;392;137;;jah
2004-07-15;397;139;;jah
2004-07-16;399;140;;jah
2004-07-17;354;131;;jah
2004-07-18;369;136;;jah
2004-07-19;354;133;;jah
2004-07-20;340;131;;jah
2004-07-21;332;130;;jah
2004-07-22;324;129;;jah
2004-07-23;325;130;;jah
2004-07-24;327;131;;jah
2004-07-25;320;130;;jah
2004-07-26;309;128;;jah
2004-07-27;309;129;;jah
2004-07-28;307;129;;jah
2004-07-29;316;130;;jah
2004-07-30;326;129;;jah
2004-07-31;353;132;;jah
2004-08-01;351;128;;jah
2004-08-02;361;128;;jah
2004-08-03;441;129;;jah
2004-08-04;529;128;;jah
2004-08-05;528;128;;jah
2004-08-06;539;130;;jah
2004-08-07;529;128;;jah
2004-08-08;525;128;;jah
2004-08-09;428;114;;jah
2004-08-10;414;114;;jah
2004-08-11;522;129;;jah
2004-08-12;487;121;;jah
2004-08-13;453;116;;jah
2004-08-14;440;114;;jah
2004-08-15;494;124;;jah
2004-08-16;483;121;;jah
2004-08-17;439;113;;jah
2004-08-18;527;130;;jah
2004-08-19;479;119;;jah
2004-08-20;525;129;;jah
2004-08-21;461;116;;jah
2004-08-22;517;127;;jah
2004-08-23;626;145;;jah
2004-08-24;679;148;;jah
2004-08-25;500;121;;jah
2004-08-26;435;112;;jah
2004-08-27;592;141;;jah
2004-08-28;618;142;;jah
2004-08-29;594;138;;jah
2004-08-30;518;125;;jah
2004-08-31;508;125;;jah
2004-09-01;481;134;;jah
2004-09-02;482;145;;jah
2004-09-03;491;148;;jah
2004-09-04;419;137;;jah
2004-09-05;400;137;;jah
2004-09-06;434;146;;jah
2004-09-07;488;159;;jah
2004-09-08;408;144;;jah
2004-09-09;394;145;;jah
2004-09-10;377;142;;jah
2004-09-11;363;140;;jah
2004-09-12;368;141;;jah
2004-09-13;487;168;;jah
2004-09-14;411;149;;jah
2004-09-15;372;143;;jah
2004-09-16;452;162;;jah
2004-09-17;494;170;;jah
2004-09-18;444;159;;jah
2004-09-19;382;147;;jah
2004-09-20;393;152;;jah
2004-09-21;347;141;;jah
2004-09-22;403;156;;jah
2004-09-23;431;161;;jah
2004-09-24;436;161;;jah
2004-09-25;497;175;;jah
2004-09-26;502;174;;jah
2004-09-27;517;177;;jah
2004-09-28;581;187;;jah
2004-09-29;591;186;;jah
2004-09-30;472;166;;jah
2004-10-01;436;161;;jah
2004-10-02;405;153;;jah
2004-10-03;380;148;;jah
2004-10-04;368;146;;jah
2004-10-05;347;141;;jah
2004-10-06;377;148;;jah
2004-10-07;440;159;;jah
2004-10-08;512;167;;jah
2004-10-09;439;150;;jah
2004-10-10;424;146;;jah
2004-10-11;438;146;;jah
2004-10-12;478;151;;jah
2004-10-13;433;140;;jah
2004-10-14;359;124;;jah
2004-10-15;317;116;;jah
2004-10-16;427;119;;jah
2004-10-17;397;106;;jah
2004-10-18;501;126;;jah
2004-10-19;528;128;;jah
2004-10-20;583;138;;jah
2004-10-21;490;120;;jah
2004-10-22;525;128;;jah
2004-10-23;631;146;;jah
2004-10-24;587;136;;jah
2004-10-25;582;136;;jah
2004-10-26;649;148;;jah
2004-10-27;650;146;;jah
2004-10-28;731;162;;jah
2004-10-29;528;124;;jah
2004-10-30;463;117;;jah
2004-10-31;534;128;;jah
2004-11-01;719;158;;jah
2004-11-02;747;162;;jah
2004-11-03;734;160;;jah
2004-11-04;615;139;;jah
2004-11-05;606;140;;jah
2004-11-06;631;144;;jah
2004-11-07;667;150;;jah
2004-11-08;671;150;;jah
2004-11-09;656;148;;jah
2004-11-10;525;125;;jah
2004-11-11;521;140;;jah
2004-11-12;540;173;;jah
2004-11-13;558;144;;jah
2004-11-14;577;165;;jah
2004-11-15;596;181;;jah
2004-11-16;615;184;;jah
2004-11-17;633;171;;jah
2004-11-18;653;148;;jah
2004-11-19;619;155;;jah
2004-11-20;473;153;;jah
2004-11-21;489;168;;jah
2004-11-22;415;163;;jah
2004-11-23;203;113;;jah
2004-11-24;207;142;;jah
2004-11-25;291;168;;jah
2004-11-26;322;173;;jah
2004-11-27;293;159;;jah
2004-11-28;250;143;;jah
2004-11-29;284;148;;jah
2004-11-30;326;146;;jah
2004-12-01;439;163;;jah
2004-12-02;363;140;;jah
2004-12-03;390;148;;jah
2004-12-04;456;161;;jah
2004-12-05;491;167;;jah
2004-12-06;453;157;;jah
2004-12-07;582;188;;jah
2004-12-08;543;176;;jah
2004-12-09;552;181;;jah
2004-12-10;482;165;;jah
2004-12-11;528;178;;jah
2004-12-12;563;186;;jah
2004-12-13;446;159;;jah
2004-12-14;424;157;;jah
2004-12-15;550;187;;jah
2004-12-16;546;183;;jah
2004-12-17;492;171;;jah
2004-12-18;491;173;;jah
2004-12-19;478;169;;jah
2004-12-20;583;195;;jah
2004-12-21;556;186;;jah
2004-12-22;510;177;;jah
2004-12-23;456;165;;jah
2004-12-24;518;182;;jah
2004-12-25;501;176;;jah
2004-12-26;532;185;;jah
2004-12-27;482;173;;jah
2004-12-28;392;153;;jah
2004-12-29;386;154;;jah
2004-12-30;460;172;;jah
2004-12-31;502;180;;jah
2005-01-01;384;166;;jah
2005-01-02;415;167;;jah
2005-01-03;470;181;;jah
2005-01-04;505;188;;jah
2005-01-05;569;204;;jah
2005-01-06;521;189;;jah
2005-01-07;579;206;;jah
2005-01-08;576;203;;jah
2005-01-09;615;276;;jah
2005-01-10;663;223;;jah
2005-01-11;642;217;;jah
2005-01-12;622;212;;jah
2005-01-13;722;236;;jah
2005-01-14;715;231;;jah
2005-01-15;649;215;;jah
2005-01-16;661;219;;jah
2005-01-17;677;222;;jah
2005-01-18;621;208;;jah
2005-01-19;573;197;;jah
2005-01-20;581;200;;jah
2005-01-21;542;189;;jah
2005-01-22;539;216;;jah
2005-01-23;542;214;;jah
2005-01-24;545;189;;jah
2005-01-25;544;188;;jah
2005-01-26;549;189;;jah
2005-01-27;477;171;;jah
2005-01-28;453;167;;jah
2005-01-29;460;168;;jah
2005-01-30;514;180;;jah
2005-01-31;528;182;;jah
2005-02-01;503;176;;jah
2005-02-02;504;174;;jah
2005-02-03;537;176;;jah
2005-02-04;548;174;;jah
2005-02-05;512;166;;jah
2005-02-06;518;165;;jah
2005-02-07;472;153;;jah
2005-02-08;410;140;;jah
2005-02-09;394;136;;jah
2005-02-10;400;135;;jah
2005-02-11;457;143;;jah
2005-02-12;522;152;;jah
2005-02-13;382;111;;jah
2005-02-14;572;142;;jah
2005-02-15;678;157;;jah
2005-02-16;659;152;;jah
2005-02-17;605;143;;jah
2005-02-18;643;151;;jah
2005-02-19;613;145;;jah
2005-02-20;575;139;;jah
2005-02-21;579;141;;jah
2005-02-22;477;122;;jah
2005-02-23;389;109;;jah
2005-02-24;417;117;;jah
2005-02-25;538;136;;jah
2005-02-26;549;136;;jah
2005-02-27;528;132;;jah
2005-02-28;558;138;;jah
2005-03-01;556;137;;jah
2005-03-02;562;138;;jah
2005-03-03;527;132;;jah
2005-03-04;505;129;;jah
2005-03-05;470;122;;jah
2005-03-06;471;123;;jah
2005-03-07;482;125;;jah
2005-03-08;518;132;;jah
2005-03-09;495;127;;jah
2005-03-10;463;121;;jah
2005-03-11;442;117;;jah
2005-03-12;474;124;;jah
2005-03-13;543;136;;jah
2005-03-14;574;140;;jah
2005-03-15;575;140;;jah
2005-03-16;508;128;;jah
2005-03-17;542;135;;jah
2005-03-18;659;155;;jah
2005-03-19;610;141;;jah
2005-03-20;672;153;;jah
2005-03-21;596;142;;jah
2005-03-22;530;132;;jah
2005-03-23;497;127;;jah
2005-03-24;526;133;;jah
2005-03-25;523;132;;jah
2005-03-26;476;123;;jah
2005-03-27;446;118;;jah
2005-03-28;414;112;;jah
2005-03-29;377;105;;jah
2005-03-30;361;105;;jah
2005-03-31;405;111;;jah
2005-04-01;432;116;;jah
2005-04-02;390;107;;jah
2005-04-03;400;110;;jah
2005-04-04;462;123;;jah
2005-04-05;434;115;;jah
2005-04-06;465;129;;jah
2005-04-07;406;115;;jah
2005-04-08;480;126;;jah
2005-04-09;480;124;;jah
2005-04-10;564;139;;jah
2005-04-11;700;161;;jah
2005-04-12;703;159;;jah
2005-04-13;661;152;;jah
2005-04-14;636;148;;jah
2005-04-15;765;164;;jah
2005-04-16;630;146;;jah
2005-04-17;612;145;;jah
2005-04-18;662;154;;jah
2005-04-19;634;148;;jah
2005-04-20;625;147;;jah
2005-04-21;641;150;;jah
2005-04-22;647;151;;jah
2005-04-23;579;139;;jah
2005-04-24;575;140;;jah
2005-04-25;558;137;;jah
2005-04-26;507;129;;jah
2005-04-27;439;116;;jah
2005-04-28;390;106;;jah
2005-04-29;547;139;;jah
2005-04-30;497;126;;jah
2005-05-01;488;126;;jah
2005-05-02;475;125;;jah
2005-05-03;383;111;;jah
2005-05-04;460;122;;jah
2005-05-05;495;128;;jah
2005-05-06;520;132;;jah
2005-05-07;512;130;;jah
2005-05-08;519;131;;jah
2005-05-09;598;145;;jah
2005-05-10;554;135;;jah
2005-05-11;650;153;;jah
2005-05-12;669;154;;jah
2005-05-13;658;152;;jah
2005-05-14;645;150;;jah
2005-05-15;659;153;;jah
2005-05-16;607;143;;jah
2005-05-17;735;160;;jah
2005-05-18;692;157;;jah
2005-05-19;700;159;;jah
2005-05-20;643;149;;jah
2005-05-21;595;142;;jah
2005-05-22;596;143;;jah
2005-05-23;592;142;;jah
2005-05-24;615;146;;jah
2005-05-25;652;152;;jah
2005-05-26;656;151;;jah
2005-05-27;652;154;;jah
2005-05-28;637;152;;jah
2005-05-29;622;143;;jah
2005-05-30;607;144;;jah
2005-05-31;592;142;;jah
2005-06-01;549;155;;jah
2005-06-02;509;156;;jah
2005-06-03;449;147;;jah
2005-06-04;392;137;;jah
2005-06-05;451;149;;jah
2005-06-06;486;153;;jah
2005-06-07;498;154;;jah
2005-06-08;621;163;;jah
2005-06-09;503;154;;jah
2005-06-10;442;146;;jah
2005-06-11;424;144;;jah
2005-06-12;477;152;;jah
2005-06-13;550;162;;jah
2005-06-14;564;163;;jah
2005-06-15;517;156;;jah
2005-06-16;464;149;;jah
2005-06-17;445;147;;jah
2005-06-18;457;149;;jah
2005-06-19;478;152;;jah
2005-06-20;453;148;;jah
2005-06-21;400;140;;jah
2005-06-22;384;139;;jah
2005-06-23;452;149;;jah
2005-06-24;478;152;;jah
2005-06-25;471;150;;jah
2005-06-26;580;167;;jah
2005-06-27;522;156;;jah
2005-06-28;533;159;;jah
2005-06-29;549;161;;jah
2005-06-30;521;158;;jah
2005-07-01;411;142;;jah
2005-07-02;439;147;;jah
2005-07-03;422;144;;jah
2005-07-04;370;130;;jah
2005-07-05;355;126;;jah
2005-07-06;358;128;;jah
2005-07-07;347;122;;jah
2005-07-08;353;126;;jah
2005-07-09;352;125;;jah
2005-07-10;350;124;;jah
2005-07-11;358;128;;jah
2005-07-12;368;132;;jah
2005-07-13;360;128;;jah
2005-07-14;357;127;;jah
2005-07-15;365;131;;jah
2005-07-16;344;120;;jah
2005-07-17;360;130;;jah
2005-07-18;351;129;;jah
